,Date,Team,Returned,Injured,Injury,Length
12738,2006-01-29,Suns,,Raja Bell,bruised thigh,(DNP)
12739,2006-01-30,Hornets,,Arvydas Macijauskas,ill,(DTD)
12740,2006-01-30,Knicks,,Antonio Davis,lower back pain,(DTD)
12741,2006-01-30,Knicks,,Qyntel Woods,hip injury,(DTD)
12742,2006-02-01,Bobcats,,Gerald Wallace,medial tibia bone bruise,(DNP)
12743,2006-02-01,Bucks,,Michael Redd,back spasms,(DNP)
12744,2006-02-01,Hawks,,Marvin Williams,sore left Achilles tendon,(DNP)
12745,2006-02-01,Jazz,,Gordan Giricek,left Achilles tendinitis,(DNP)
12746,2006-02-01,Magic,,Grant Hill,hernia,(DNP)
12747,2006-02-01,Pacers,,Austin Croshere,concussion,(DNP)
12748,2006-02-01,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12749,2006-02-01,Rockets,,Jon Barry,strained right calf,(DNP)
12750,2006-02-01,Spurs,,Robert Horry,abdominal strain,(DNP)
12751,2006-02-01,Warriors,,Jason Richardson,sore back,(DNP)
12752,2006-02-02,Spurs,,Nick Van Exel,sore left elbow,(DNP)
12753,2006-02-02,Spurs,,Robert Horry,lower abdominal strain,(DNP)
12754,2006-02-02,Warriors,,Jason Richardson,sore back,(DNP)
12755,2006-02-03,76ers,,Allen Iverson,sprained left ankle,(DNP)
12756,2006-02-03,Bobcats,,Gerald Wallace,medial tibia bone bruise,(DNP)
12757,2006-02-03,Celtics,,Al Jefferson,sprained right ankle,(out 2 weeks)
12758,2006-02-03,Jazz,,Gordan Giricek,left Achilles tendinitis,(DNP)
12759,2006-02-03,Lakers,,Lamar Odom,sprained ribs,(DNP)
12760,2006-02-03,Magic,,Grant Hill,hernia,(DNP)
12761,2006-02-04,Celtics,,Al Jefferson,sprained right ankle,(DNP)
12762,2006-02-04,Magic,,Grant Hill,hernia,(DNP)
12763,2006-02-04,Pacers,,Austin Croshere,concussion,(DNP)
12764,2006-02-04,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12765,2006-02-05,Cavaliers,,Luke Jackson,broken left wrist,"(out 7 weeks, will need surgery)"
12766,2006-02-05,Jazz,,Gordan Giricek,left Achilles tendinitis,(DNP)
12767,2006-02-05,Kings,,Bonzi Wells,strained right groin,(DNP)
12768,2006-02-06,Bobcats,,Gerald Wallace,bruised tibia,(DNP)
12769,2006-02-06,Bulls,,Chris Duhon,bruised left thigh,(DNP)
12770,2006-02-06,Celtics,,Al Jefferson,sprained right ankle,(DNP)
12771,2006-02-06,Hawks,,Tyronn Lue,sprained MCL in right knee,(out indefinitely)
12772,2006-02-06,Jazz,,Deron Williams,sprained left ankle,(DNP)
12773,2006-02-06,Jazz,,Gordan Giricek,left ankle tendinitis,(DNP)
12774,2006-02-06,Magic,,Grant Hill,hernia,(DNP)
12775,2006-02-06,Sonics,,Vladimir Radmanovic,strained right quadriceps,(DNP)
12776,2006-02-06,Wizards,,Jared Jeffries,bruised lower back,(DNP)
12777,2006-02-07,Hawks,,Tyronn Lue,sprained MCL in right knee,(DNP)
12778,2006-02-07,Lakers,,Chris Mihm,strained right shoulder,(DNP)
12779,2006-02-08,Bobcats,,Gerald Wallace,medial tibia bone bruise,(DNP)
12780,2006-02-08,Clippers,,Sam Cassell,back spasms,(DNP)
12781,2006-02-08,Magic,,Grant Hill,hernia,(DNP)
12782,2006-02-08,Nuggets,,Kenyon Martin,bruised left knee,(DNP)
12783,2006-02-08,Pacers,,Austin Croshere,concussion,(DNP)
12784,2006-02-08,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12785,2006-02-08,Sonics,,Vladimir Radmanovic,strained right quadriceps,(DNP)
12786,2006-02-08,Spurs,,Tim Duncan,flu-like symptoms,(DNP)
12787,2006-02-10,Bobcats,,Brevin Knight,bruised left knee,(DNP)
12788,2006-02-10,Bobcats,,Raymond Felton,sprained right big toe,(DNP)
12789,2006-02-10,Celtics,,Kendrick Perkins,dislocated left shoulder,(DNP)
12790,2006-02-10,Grizzlies,,Mike Miller,sprained left ankle,(DNP)
12791,2006-02-10,Magic,,Grant Hill,hernia,(DNP)
12792,2006-02-10,Nuggets,,Marcus Camby,strained lower back,(DNP)
12793,2006-02-10,Pacers,,Austin Croshere,concussion,(DNP)
12794,2006-02-10,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12795,2006-02-10,Warriors,,Troy Murphy,sprained left ankle,(DNP)
12796,2006-02-10,Warriors,,Zarko Cabarkapa,back spasms,(DNP)
12797,2006-02-11,Grizzlies,,Mike Miller,sprained left ankle,(DNP)
12798,2006-02-11,Jazz,,Keith McLeod,medical tests,(DNP)
12799,2006-02-11,Warriors,,Troy Murphy,sprained left ankle,(DNP)
12800,2006-02-11,Warriors,,Zarko Cabarkapa,back spasms,(DNP)
12801,2006-02-12,Bucks,,Bobby Simmons,plantar fasciitis in right foot,(DNP)
12802,2006-02-12,Bulls,,Chris Duhon,bruised left thigh,(DNP)
12803,2006-02-12,Celtics,,Kendrick Perkins,dislocated left shoulder,(DNP)
12804,2006-02-12,Pacers,,Austin Croshere,concussion,(DNP)
12805,2006-02-12,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12806,2006-02-12,Sonics,,Rashard Lewis,right quadriceps injury,(DNP)
12807,2006-02-13,Bobcats,,Jake Voskuhl,flu-like symptoms,(DNP)
12808,2006-02-13,Grizzlies,,Brian Cardinal,flu,(DNP)
12809,2006-02-13,Grizzlies,,Mike Miller,sprained left ankle,(DNP)
12810,2006-02-13,Jazz,,Keith McLeod,medical tests,(DNP)
12811,2006-02-13,Knicks,,Jamal Crawford,sore lower back,(DNP)
12812,2006-02-13,Nuggets,,Eduardo Najera,surgery on right knee to remove loose particles,(Length Undetermined)
12813,2006-02-13,Raptors,,Marcus Camby,sprained right thumb,(DNP)
12814,2006-02-13,Warriors,,Andris Biedrins,stiff neck,(DNP)
12815,2006-02-13,Warriors,,Baron Davis,sprained right ankle,(DNP)
12816,2006-02-13,Warriors,,Troy Murphy,sprained left ankle,(DNP)
12817,2006-02-14,Bulls,,Chris Duhon,bruised left thigh,(DNP)
12818,2006-02-14,Cavaliers,,Larry Hughes,second surgery on broken right middle finger,(Length Undetermined)
12819,2006-02-14,Clippers,,Quinton Ross,sore lower back,(DNP)
12820,2006-02-14,Kings,,Corliss Williamson,back spasms,(DNP)
12821,2006-02-15,Bobcats,,Primoz Brezec,Achilles tendinitos,(DNP)
12822,2006-02-15,Clippers,,Quinton Ross,sore lower back,(DNP)
12823,2006-02-15,Pacers,,Austin Croshere,concussion,(DNP)
12824,2006-02-15,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12825,2006-02-15,Warriors,,Andris Biedrins,stiff neck,(DNP)
12826,2006-02-15,Warriors,,Baron Davis,sprained right ankle,(DNP)
12827,2006-02-15,Warriors,,Troy Murphy,sprained left ankle,(DNP)
12828,2006-02-15,Wizards,,Jarvis Hayes,surgery on fractured right kneecap,(out for season)
12829,2006-02-16,Suns,,James Jones,sprained right wrist,(DNP)
12830,2006-02-21,Celtics,,Kendrick Perkins,dislocated left shoulder,(DNP)
12831,2006-02-21,Nuggets,,Kenyon Martin,left knee injury,(DNP)
12832,2006-02-21,Warriors,,Baron Davis,sprained right ankle,(DNP)
12833,2006-02-22,Celtics,,Kendrick Perkins,dislocated left shoulder,(DNP)
12834,2006-02-22,Celtics,,Wally Szczerbiak,bruised left knee,(DNP)
12835,2006-02-22,Hawks,,Tyronn Lue,knee injury,(DNP)
12836,2006-02-22,Hornets,,Jackson Vroman,broken right wrist,(out for rest of regular season)
12837,2006-02-22,Jazz,,Andre Owens,surgery on left leg to replace rod,(out for season)
12838,2006-02-22,Magic,,Grant Hill,lower abdominal pain,(DNP)
12839,2006-02-22,Magic,,Hidayet Turkoglu / Hedo Turkoglu,sprained left ankle,(DNP)
12840,2006-02-22,Sonics,,Robert Swift,surgery on broken nose,(Length Undetermined)
12841,2006-02-24,76ers,,Samuel Dalembert,sprained left ankle,(DNP)
12842,2006-02-24,Celtics,,Kendrick Perkins,dislocated left shoulder,(DNP)
12843,2006-02-24,Pacers,,Austin Croshere,concussion,(DNP)
12844,2006-02-24,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12845,2006-02-24,Sonics,,Nick Collison,birth of child,(DNP)
12846,2006-02-24,Sonics,,Ray Allen,flu,(DNP)
12847,2006-02-24,Warriors,,Baron Davis,sprained right ankle,(DNP)
12848,2006-02-25,76ers,,Chris Webber,flu,(DNP)
12849,2006-02-25,76ers,,Samuel Dalembert,sprained left ankle,(DNP)
12850,2006-02-25,Sonics,,Nick Collison,birth of child,(DNP)
12851,2006-02-25,Suns,,Dijon Thompson,sore right knee,(DNP)
12852,2006-02-25,Suns,,Kurt Thomas,stress fracture in right foot,(out 6 weeks)
12853,2006-02-25,Suns,,Nikoloz Tskitishvili,sprained right knee,(DNP)
12854,2006-02-25,Warriors,,Baron Davis,sprained right ankle,(DNP)
12855,2006-02-26,Celtics,,Kendrick Perkins,dislocated left shoulder,(DNP)
12856,2006-02-26,Pacers,,Austin Croshere,concussion,(DNP)
12857,2006-02-26,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12858,2006-02-27,76ers,,Samuel Dalembert,left knee injury,(DNP)
12859,2006-02-27,Hawks,,Tyronn Lue,sprained right knee,(DNP)
12860,2006-02-27,Mavericks,,Josh Howard,sprained ankle,(DNP)
12861,2006-02-27,Mavericks,,Keith Van Horn,flu,(DNP)
12862,2006-02-27,Nuggets,,Greg Buckner,right knee injury,(DNP)
12863,2006-02-27,Warriors,,Baron Davis,sprained right ankle,(DNP)
12864,2006-02-28,Bulls,,Jannero Pargo,sprained left big toe,(DNP)
12865,2006-03-01,Hawks,,Tyronn Lue,sprained MCL in right knee,(DNP)
12866,2006-03-01,Jazz,,Andrei Kirilenko,back spasms,(DNP)
12867,2006-03-01,Nuggets,,Eduardo Najera,right knee injury,(DNP)
12868,2006-03-01,Nuggets,,Greg Buckner,right knee injury,(DNP)
12869,2006-03-01,Pacers,,Anthony Johnson,stomach virus,(DNP)
12870,2006-03-01,Pacers,,Austin Croshere,concussion,(DNP)
12871,2006-03-01,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12872,2006-03-01,Raptors,,Antonio Davis,back spasms,(DNP)
12873,2006-03-01,Raptors,,Eric Williams,right knee inflammation,(DNP)
12874,2006-03-01,Suns,,Kurt Thomas,stress fracture in right foot,(DNP)
12875,2006-03-01,Suns,,Nikoloz Tskitishvili,sprained right ankle,(DNP)
12876,2006-03-01,Warriors,,Baron Davis,sprained right ankle,(DNP)
12877,2006-03-01,Wizards,,Andray Blatche,flu-like symptoms,(DNP)
12878,2006-03-03,Hawks,,Tyronn Lue,sprained MCL in right knee,(DNP)
12879,2006-03-03,Pacers,,Austin Croshere,concussion,(DNP)
12880,2006-03-03,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12881,2006-03-03,Suns,,Dijon Thompson,knee injury,(DNP)
12882,2006-03-03,Suns,,Nikoloz Tskitishvili,sprained right ankle,(DNP)
12883,2006-03-04,Hawks,,Josh Childress,sprained left ankle,(DNP)
12884,2006-03-04,Hawks,,Tyronn Lue,sprained MCL in right knee,(DNP)
12885,2006-03-04,Raptors,,Antonio Davis,sprained back,(DNP)
12886,2006-03-05,Kings,,Vitaly Potapenko,back injury,(out indefinitely)
12887,2006-03-05,Mavericks,,Josh Howard,strained hamstring,(DNP)
12888,2006-03-05,Pacers,,Austin Croshere,concussion,(DNP)
12889,2006-03-05,Pacers,,Jamaal Tinsley,sore right elbow,(DNP)
12890,2006-03-05,Raptors,,Antonio Davis,sprained back,(DNP)
12891,2006-03-06,Heat,Jason Kapono,,returned to lineup,(Length Undetermined)
12892,2006-03-06,Jazz,,Robert Whaley,back spasms,(DNP)
12893,2006-03-06,Kings,Vitaly Potapenko,,returned to lineup,(Length Undetermined)
12894,2006-03-06,Magic,,Pat Garrity,shoulder injury,(out indefinitely)
12895,2006-03-06,Sonics,,Nick Collison,partially torn plantar fascia in left foot,(Length Undetermined)
12896,2006-03-06,Suns,,Dijon Thompson,right knee injury,(DNP)
12897,2006-03-06,Suns,,Nikoloz Tskitishvili,sprained right ankle,(DNP)
12898,2006-03-07,Celtics,,Delonte West,strained right groin,(DNP)
12899,2006-03-07,Hawks,,John Edwards,sprained right ankle,(DNP)
12900,2006-03-07,Hawks,,Josh Childress,sprained left ankle,(DNP)
12901,2006-03-07,Pacers,,Austin Croshere,concussion,(DNP)
12902,2006-03-07,Rockets,,Tracy McGrady,sore back,(DNP)
12903,2006-03-07,Sonics,,Nick Collison,injured left foot,(out indefinitely)
12904,2006-03-08,Celtics,,Delonte West,strained right groin,(DNP)
12905,2006-03-08,Jazz,,Greg Ostertag,sprained left ankle,(DNP)
12906,2006-03-08,Pacers,,Austin Croshere,concussion,(DNP)
12907,2006-03-08,Pacers,,Danny Granger,flu-like symptoms,(DNP)
12908,2006-03-08,Pacers,,Fred Jones,sprained left thumb,(DNP)
12909,2006-03-08,Warriors,,Mickael Pietrus,sprained right ankle,(DNP)
12910,2006-03-09,76ers,,Kevin Ollie,sprained right ankle,(DNP)
12911,2006-03-09,Suns,,Dijon Thompson,right knee injury,(DNP)
12912,2006-03-09,Suns,,Leandro Barbosa,strained right groin,(DNP)
12913,2006-03-09,Suns,,Steve Nash,sprained right ankle,(DNP)
12914,2006-03-10,Celtics,,Delonte West,strained right groin,(DNP)
12915,2006-03-10,Grizzlies,,Brian Cardinal,knee injury,(DTD)
12916,2006-03-10,Nuggets,,Marcus Camby,strained Achilles tendon,(DNP)
12917,2006-03-10,Pacers,,Austin Croshere,concussion,(DNP)
12918,2006-03-10,Pacers,,Fred Jones,torn ligament in left thumb,(DNP)
12919,2006-03-10,Warriors,,Mickael Pietrus,sprained right ankle,(DNP)
12920,2006-03-11,Hawks,,James Lang,flu-like symptoms,(DNP)
12921,2006-03-11,Hawks,,John Edwards,sprained right ankle,(DNP)
12922,2006-03-11,Hawks,,Josh Childress,sprained left ankle,(DNP)
12923,2006-03-11,Jazz,,Greg Ostertag,sprained left ankle,(DNP)
12924,2006-03-11,Suns,,Dijon Thompson,right knee injury,(DNP)
12925,2006-03-11,Warriors,,Mickael Pietrus,sprained right ankle,(DNP)
12926,2006-03-12,76ers,,Kevin Ollie,ankle injury,(DTD)
12927,2006-03-12,Blazers,,Juan Dixon,sore left knee,(DNP)
12928,2006-03-12,Mavericks,,Adrian Griffin,strained right hamstring,(DNP)
12929,2006-03-12,Pacers,,Austin Croshere,concussion,(DNP)
12930,2006-03-12,Pacers,,Fred Jones,sprained left thumb,(DNP)
12931,2006-03-12,Pacers,,Scot Pollard,sore lower back,(DNP)
12932,2006-03-12,Raptors,,Eric Williams,sore back,(DNP)
12933,2006-03-12,Suns,,Dijon Thompson,right knee injury,(DNP)
12934,2006-03-13,Hawks,,Josh Childress,sprained left ankle,(DNP)
12935,2006-03-13,Pacers,,Austin Croshere,concussion,(DNP)
12936,2006-03-13,Rockets,,David Wesley,rib injury,(DNP)
12937,2006-03-14,76ers,,Allen Iverson,right foot injury,(DNP)
12938,2006-03-14,76ers,,Kevin Ollie,sprained right ankle,(DNP)
12939,2006-03-14,Blazers,,Juan Dixon,left knee tendinitis,(DNP)
12940,2006-03-14,Blazers,,Theo Ratliff,ankle injury,(DTD)
12941,2006-03-14,Mavericks,,Adrian Griffin,strained right hamstring,(DNP)
12942,2006-03-14,Mavericks,,Keith Van Horn,sprained MCL in left knee,(DNP)
12943,2006-03-14,Raptors,,Jose Calderon,left Achilles tendinitis,(DNP)
12944,2006-03-14,Suns,,Dijon Thompson,right knee injury,(DNP)
12945,2006-03-15,Hawks,,Josh Childress,sprained left ankle,(DNP)
12946,2006-03-15,Mavericks,,Adrian Griffin,strained right hamstring,(DNP)
12947,2006-03-15,Mavericks,,Keith Van Horn,sprained MCL in left knee,(DNP)
12948,2006-03-15,Pacers,,Scot Pollard,sore left foot,(DNP)
12949,2006-03-15,Rockets,,David Wesley,cracked ribs,(DNP)
12950,2006-03-15,Suns,,Dijon Thompson,right knee injury,(DNP)
12951,2006-03-16,76ers,,Allen Iverson,sprained right foot,(DNP)
12952,2006-03-16,Nuggets,,Earl Boykins,fractured left hand,(out 4-5 weeks)
12953,2006-03-16,Warriors,,Baron Davis,sprained right ankle,(DNP)
12954,2006-03-17,76ers,,Allen Iverson,sprained right foot,(DNP)
12955,2006-03-17,Mavericks,,Adrian Griffin,strained right hamstring,(DNP)
12956,2006-03-17,Mavericks,,Keith Van Horn,sprained MCL in left knee,(DNP)
12957,2006-03-17,Nuggets,,Linas Kleiza,sprained left ankle,(DNP)
12958,2006-03-17,Suns,,Dijon Thompson,surgery on right knee,(DNP)
12959,2006-03-18,Blazers,,Zach Randolph,bruised left knee,(DNP)
12960,2006-03-18,Nuggets,,Marcus Camby,strained left knee,(DNP)
12961,2006-03-18,Rockets,,David Wesley,cracked ribs,(DNP)
12962,2006-03-18,Spurs,,Emanuel Ginobili / Manu Ginobili,calf injury,(DNP)
12963,2006-03-19,76ers,,Allen Iverson,sprained right foot,(DNP)
12964,2006-03-19,Mavericks,,Adrian Griffin,strained right hamstring,(DNP)
12965,2006-03-19,Mavericks,,Keith Van Horn,sprained MCL in left knee,(DNP)
12966,2006-03-19,Pacers,,Scot Pollard,sore left foot,(DNP)
12967,2006-03-20,Hawks,,Salim Stoudamire,sprained right elbow,(DNP)
12968,2006-03-20,Pistons,,Tony Delk,hamstring injury,(DTD)
12969,2006-03-21,Bobcats,,Melvin Ely,migraine headache,(DNP)
12970,2006-03-21,Heat,,Shaquille O'Neal,sprained right thumb,(DNP)
12971,2006-03-21,Mavericks,,Adrian Griffin,strained right hamstring,(DNP)
12972,2006-03-21,Mavericks,,Keith Van Horn,sprained MCL in left knee,(DNP)
12973,2006-03-21,Pacers,,Austin Croshere,concussion,(DNP)
12974,2006-03-21,Pacers,,Jamaal Tinsley,sinus infection,(DNP)
12975,2006-03-21,Sonics,,Earl Watson,neck injury,(DNP)
12976,2006-03-21,Timberwolves,,Ronald Dupree,knee injury,(DTD)
12977,2006-03-22,Knicks,,Channing Frye,left knee injury,(out for remainder of regular season)
12978,2006-03-23,Heat,,Alonzo Mourning,partially torn right calf muscle,(Length Undetermined)
12979,2006-03-23,Mavericks,,Adrian Griffin,strained left hamstring,(DNP)
12980,2006-03-23,Mavericks,,Keith Van Horn,sprained MCL in left knee,(DNP)
12981,2006-03-23,Nuggets,,Eduardo Najera,right knee injury,(DTD)
12982,2006-03-23,Timberwolves,,Trenton Hassell,sprained left ankle,(DNP)
12983,2006-03-24,Knicks,,Qyntel Woods,flu-like symptoms,(DNP)
12984,2006-03-24,Nuggets,,Kenyon Martin,bruised left knee,(DNP)
12985,2006-03-24,Pacers,,Fred Jones,torn ligament in left thumb,(DNP)
12986,2006-03-24,Timberwolves,,Trenton Hassell,sprained left ankle,(DNP)
12987,2006-03-25,Clippers,,Cuttino Mobley,sprained right ankle,(DNP)
12988,2006-03-25,Hawks,,Salim Stoudamire,sprained right elbow,(DNP)
12989,2006-03-25,Hawks,,Tyronn Lue,sprained right elbow,(DNP)
12990,2006-03-25,Mavericks,,Adrian Griffin,strained left hamstring,(DNP)
12991,2006-03-26,76ers,,Willie Green,surgery on left knee,(DTD)
12992,2006-03-26,Hawks,,Salim Stoudamire,sprained right elbow,(DNP)
12993,2006-03-26,Hawks,,Tyronn Lue,sprained right elbow,(DNP)
12994,2006-03-26,Kings,,Vitaly Potapenko,back injury,(out indefinitely)
12995,2006-03-26,Knicks,,Qyntel Woods,flu-like symptoms,(DNP)
12996,2006-03-26,Pacers,,Fred Jones,torn ligament in left thumb,(DNP)
12997,2006-03-26,Timberwolves,,Trenton Hassell,sprained left ankle,(DNP)
12998,2006-03-27,Hornets,,David West,sprained left ankle,(DNP)
12999,2006-03-27,Pacers,,Fred Jones,torn ligament in left thumb,(DNP)
13000,2006-03-27,Warriors,,Chris Taft,will undergo surgery to fix herniated disc in back,(out for season)
13001,2006-03-28,Hawks,,Tyronn Lue,sprained right elbow,(DNP)
13002,2006-03-28,Mavericks,,Adrian Griffin,strained left hamstring,(DNP)
13003,2006-03-28,Raptors,,Chris Bosh,sprained left thumb,(out indefinitely)
13004,2006-03-28,Spurs,,(William) Tony Parker,foot injury,(DTD)
13005,2006-03-28,Suns,,Amare Stoudemire / Amar'e Stoudemire,sore left knee,(DNP)
13006,2006-03-28,Wizards,,Jarvis Hayes,sore lower back,(DNP)
13007,2006-03-29,Hawks,,Tyronn Lue,sprained right elbow,(DNP)
13008,2006-03-29,Hornets,,Craig Claxton / Speedy Claxton,bruised right big toe,(DNP)
13009,2006-03-29,Hornets,,David West,sprained left ankle,(DNP)
13010,2006-03-29,Knicks,,Quentin Richardson,thumb injury,(DTD)
13011,2006-03-29,Mavericks,,Adrian Griffin,strained left hamstring,(DNP)
13012,2006-03-29,Sonics,,Rashard Lewis,sprained right ankle,(DNP)
13013,2006-03-29,Timberwolves,,Trenton Hassell,sprained left ankle,(DNP)
13014,2006-03-30,Suns,,Amare Stoudemire / Amar'e Stoudemire,sore left knee,(DNP)
13015,2006-03-31,Hawks,,Tyronn Lue,sprained MCL in right knee,(DNP)
13016,2006-03-31,Hornets,,David West,sprained left ankle,(DNP)
13017,2006-03-31,Knicks,,Steve Francis,sprained second toe on right foot,(DNP)
13018,2006-03-31,Mavericks,,Marquis Daniels,strained neck,(DNP)
13019,2006-03-31,Suns,,Amare Stoudemire / Amar'e Stoudemire,sore left knee,(DNP)
13020,2006-03-31,Timberwolves,,Trenton Hassell,sprained left ankle,(DNP)
13021,2006-04-01,Jazz,,Matt Harpring,sprained left ankle,(DNP)
13022,2006-04-02,Hawks,,Zaur Pachulia / Zaza Pachulia,flu-like symptoms,(DNP)
13023,2006-04-02,Knicks,,Jalen Rose,plantar fasciaitis in left foot,(DNP)
13024,2006-04-02,Knicks,,Stephon Marbury,strained left patella tendon,(DNP)
13025,2006-04-02,Mavericks,,Adrian Griffin,strained left hamstring,(DNP)
13026,2006-04-02,Mavericks,,Marquis Daniels,strained neck,(DNP)
13027,2006-04-02,Sonics,,Rashard Lewis,sprained right ankle,(DNP)
13028,2006-04-02,Suns,,Amare Stoudemire / Amar'e Stoudemire,knee injury,(DNP)
13029,2006-04-02,Suns,,Nikoloz Tskitishvili,ankle injury,(out indefinitely)
13030,2006-04-04,Bobcats,,Melvin Ely,flu-like symptoms,(DNP)
13031,2006-04-04,Hawks,,Josh Childress,sprained right ankle,(DNP)
13032,2006-04-04,Hawks,,Zaur Pachulia / Zaza Pachulia,flu-like symptoms,(DNP)
13033,2006-04-04,Knicks,,Jerome James,upper respiratory infection,(DNP)
13034,2006-04-04,Knicks,,Stephon Marbury,strained left patella tendon,(DNP)
13035,2006-04-04,Mavericks,,Adrian Griffin,strained left hamstring,(DNP)
