,Date,Team,Returned,Injured,Injury,Length
23575,2015-11-27,Blazers,,Chris Kaman,sore ankle,(DTD)
23576,2015-11-27,Cavaliers,Matthew Dellavedova,,returned to lineup,(Length Undetermined)
23577,2015-11-27,Cavaliers,Timofey Mozgov,,returned to lineup,(Length Undetermined)
23578,2015-11-27,Heat,,Chris Andersen,illness,(DTD)
23579,2015-11-27,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained right ankle,(DTD)
23580,2015-11-27,Pacers,,Jordan Hill,sore lower back,(DTD)
23581,2015-11-27,Pacers,,Myles Turner,recovering from surgery on left thumb to repair chip fracture and torn ligament,(out indefinitely)
23582,2015-11-27,Pistons,Spencer Dinwiddie,,returned to lineup,(Length Undetermined)
23583,2015-11-27,Timberwolves,,Ricky Rubio,ankle injury,(DTD)
23584,2015-11-28,Nuggets,,Gary Harris,concussion,(DTD)
23585,2015-11-28,Wizards,,Drew Gooden,strained right calf,(DTD)
23586,2015-11-28,Wizards,,Gary Neal,strained left groin,(DTD)
23587,2015-11-29,Grizzlies,Zach Randolph,,returned to lineup,(Length Undetermined)
23588,2015-11-29,Knicks,,Carmelo Anthony,illness,(DTD)
23589,2015-11-29,Pacers,Jordan Hill,,returned to lineup,(Length Undetermined)
23590,2015-11-30,Bulls,,Kirk Hinrich,left hip pointer,(DTD)
23591,2015-11-30,Heat,Chris Andersen,,returned to lineup,(Length Undetermined)
23592,2015-11-30,Hornets,,Al Jefferson,strained left calf,(out indefinitely)
23593,2015-11-30,Nets,,Andrea Bargnani,sore hamstring,(Length Undetermined)
23594,2015-11-30,Pacers,,Shayne Whittington,sore ribs,(DTD)
23595,2015-12-01,76ers,Nerlens Noel,,returned to lineup,(Length Undetermined)
23596,2015-12-01,Mavericks,,Chandler Parsons,rest,(DNP)
23597,2015-12-01,Pelicans,Norris Cole,,returned to lineup,(Length Undetermined)
23598,2015-12-02,Bulls,Aaron Brooks,,returned to lineup,(Length Undetermined)
23599,2015-12-02,Jazz,,Rudy Gobert,sprained MCL in left knee,(out indefinitely)
23600,2015-12-02,Knicks,Carmelo Anthony,,returned to lineup,(Length Undetermined)
23601,2015-12-02,Pelicans,,Jrue Holiday,DNP,(Length Undetermined)
23602,2015-12-02,Wizards,Gary Neal,,returned to lineup,(Length Undetermined)
23603,2015-12-03,Clippers,,J.J. Redick,sprained right ankle,(DTD)
